model,model_dir,dataset,quartile,n_in_bin,greedy_acc,sc_acc,delta,size_B
Llama-3.2-1B,meta-llama__Llama-3.2-1B-Instruct,nq_open,Q1,261,0.4329501915708812,0.42528735632183906,-0.007662835249042155,1.0
Llama-3.2-1B,meta-llama__Llama-3.2-1B-Instruct,nq_open,Q2,739,0.2313937753721245,0.1880920162381597,-0.04330175913396481,1.0
Llama-3.2-1B,meta-llama__Llama-3.2-1B-Instruct,squad,Q1,259,0.15057915057915058,0.14285714285714285,-0.007722007722007734,1.0
Llama-3.2-1B,meta-llama__Llama-3.2-1B-Instruct,squad,Q2,276,0.08695652173913043,0.08695652173913043,0.0,1.0
Llama-3.2-1B,meta-llama__Llama-3.2-1B-Instruct,squad,Q3,465,0.1032258064516129,0.07526881720430108,-0.027956989247311825,1.0
Llama-3.2-1B,meta-llama__Llama-3.2-1B-Instruct,triviaqa,Q1,251,0.7888446215139442,0.7848605577689243,-0.003984063745019917,1.0
Llama-3.2-1B,meta-llama__Llama-3.2-1B-Instruct,triviaqa,Q2,395,0.42025316455696204,0.3924050632911392,-0.027848101265822822,1.0
Llama-3.2-1B,meta-llama__Llama-3.2-1B-Instruct,triviaqa,Q3,354,0.2909604519774011,0.2062146892655367,-0.0847457627118644,1.0
Qwen2.5-1.5B,Qwen__Qwen2.5-1.5B-Instruct,nq_open,Q1,383,0.3577023498694517,0.360313315926893,0.0026109660574412663,1.5
Qwen2.5-1.5B,Qwen__Qwen2.5-1.5B-Instruct,nq_open,Q2,617,0.1426256077795786,0.12317666126418152,-0.019448946515397095,1.5
Qwen2.5-1.5B,Qwen__Qwen2.5-1.5B-Instruct,squad,Q1,266,0.2669172932330827,0.23684210526315788,-0.030075187969924838,1.5
Qwen2.5-1.5B,Qwen__Qwen2.5-1.5B-Instruct,squad,Q2,734,0.09264305177111716,0.07629427792915532,-0.016348773841961844,1.5
Qwen2.5-1.5B,Qwen__Qwen2.5-1.5B-Instruct,triviaqa,Q1,252,0.7976190476190477,0.8055555555555556,0.007936507936507908,1.5
Qwen2.5-1.5B,Qwen__Qwen2.5-1.5B-Instruct,triviaqa,Q2,280,0.45,0.475,0.024999999999999967,1.5
Qwen2.5-1.5B,Qwen__Qwen2.5-1.5B-Instruct,triviaqa,Q3,468,0.2863247863247863,0.26282051282051283,-0.023504273504273476,1.5
Qwen2.5-3B,Qwen__Qwen2.5-3B-Instruct,nq_open,Q1,251,0.4900398406374502,0.5059760956175299,0.015936254980079667,3.0
Qwen2.5-3B,Qwen__Qwen2.5-3B-Instruct,nq_open,Q2,392,0.27040816326530615,0.27040816326530615,0.0,3.0
Qwen2.5-3B,Qwen__Qwen2.5-3B-Instruct,nq_open,Q3,357,0.13445378151260504,0.12044817927170869,-0.01400560224089635,3.0
Qwen2.5-3B,Qwen__Qwen2.5-3B-Instruct,squad,Q1,263,0.33460076045627374,0.33460076045627374,0.0,3.0
Qwen2.5-3B,Qwen__Qwen2.5-3B-Instruct,squad,Q2,276,0.11956521739130435,0.13043478260869565,0.010869565217391297,3.0
Qwen2.5-3B,Qwen__Qwen2.5-3B-Instruct,squad,Q3,461,0.09544468546637744,0.08893709327548807,-0.006507592190889366,3.0
Qwen2.5-3B,Qwen__Qwen2.5-3B-Instruct,triviaqa,Q1,256,0.9140625,0.9140625,0.0,3.0
Qwen2.5-3B,Qwen__Qwen2.5-3B-Instruct,triviaqa,Q2,262,0.6564885496183206,0.7022900763358778,0.04580152671755722,3.0
Qwen2.5-3B,Qwen__Qwen2.5-3B-Instruct,triviaqa,Q3,235,0.4,0.40425531914893614,0.004255319148936121,3.0
Qwen2.5-3B,Qwen__Qwen2.5-3B-Instruct,triviaqa,Q4,247,0.25101214574898784,0.2388663967611336,-0.012145748987854227,3.0
Llama-3.2-3B,meta-llama__Llama-3.2-3B-Instruct,nq_open,Q1,268,0.5783582089552238,0.585820895522388,0.007462686567164201,3.2
Llama-3.2-3B,meta-llama__Llama-3.2-3B-Instruct,nq_open,Q2,284,0.41901408450704225,0.426056338028169,0.007042253521126751,3.2
Llama-3.2-3B,meta-llama__Llama-3.2-3B-Instruct,nq_open,Q3,448,0.31919642857142855,0.28348214285714285,-0.0357142857142857,3.2
Llama-3.2-3B,meta-llama__Llama-3.2-3B-Instruct,squad,Q1,253,0.21739130434782608,0.22134387351778656,0.003952569169960479,3.2
Llama-3.2-3B,meta-llama__Llama-3.2-3B-Instruct,squad,Q2,288,0.1284722222222222,0.13194444444444445,0.0034722222222222376,3.2
