model,dataset,metric,n,greedy_acc,ece,top_q_wrong_rate,4cell_high_wrong,4cell_low_wrong
Qwen/Qwen2.5-1.5B-Instruct,triviaqa,C_SE_disc,1000,0.4610,0.2219,0.2024,205,334
Qwen/Qwen2.5-1.5B-Instruct,triviaqa,C_SE_logp,1000,0.4610,0.1892,0.1920,188,351
Qwen/Qwen2.5-1.5B-Instruct,triviaqa,C_logp,1000,0.4610,0.1832,0.2600,197,342
Qwen/Qwen2.5-1.5B-Instruct,nq_open,C_SE_disc,1000,0.2250,0.1519,0.6423,775,0
Qwen/Qwen2.5-1.5B-Instruct,nq_open,C_SE_logp,1000,0.2250,0.1337,0.5840,347,428
Qwen/Qwen2.5-1.5B-Instruct,nq_open,C_logp,1000,0.2250,0.3300,0.6280,354,421
Qwen/Qwen2.5-1.5B-Instruct,squad,C_SE_disc,1000,0.1390,0.0778,0.7331,861,0
Qwen/Qwen2.5-1.5B-Instruct,squad,C_SE_logp,1000,0.1390,0.0748,0.7280,402,459
Qwen/Qwen2.5-1.5B-Instruct,squad,C_logp,1000,0.1390,0.3376,0.7280,392,469
Qwen/Qwen2.5-3B-Instruct,triviaqa,C_SE_disc,1000,0.5620,0.1430,0.0859,112,326
Qwen/Qwen2.5-3B-Instruct,triviaqa,C_SE_logp,1000,0.5620,0.1302,0.0880,102,336
Qwen/Qwen2.5-3B-Instruct,triviaqa,C_logp,1000,0.5620,0.1830,0.1360,127,311
Qwen/Qwen2.5-3B-Instruct,nq_open,C_SE_disc,1000,0.2770,0.1440,0.5100,414,309
Qwen/Qwen2.5-3B-Instruct,nq_open,C_SE_logp,1000,0.2770,0.1435,0.5080,308,415
Qwen/Qwen2.5-3B-Instruct,nq_open,C_logp,1000,0.2770,0.3366,0.5120,308,415
Qwen/Qwen2.5-3B-Instruct,squad,C_SE_disc,1000,0.1650,0.1145,0.6654,418,417
Qwen/Qwen2.5-3B-Instruct,squad,C_SE_logp,1000,0.1650,0.1216,0.6520,384,451
Qwen/Qwen2.5-3B-Instruct,squad,C_logp,1000,0.1650,0.4162,0.6640,374,461
Qwen/Qwen2.5-7B-Instruct,triviaqa,C_SE_disc,1000,0.5910,0.0811,0.0890,81,328
Qwen/Qwen2.5-7B-Instruct,triviaqa,C_SE_logp,1000,0.5910,0.0878,0.0890,85,324
Qwen/Qwen2.5-7B-Instruct,triviaqa,C_logp,1000,0.5910,0.2837,0.1200,121,288
Qwen/Qwen2.5-7B-Instruct,nq_open,C_SE_disc,1000,0.3110,0.1320,0.4131,262,427
Qwen/Qwen2.5-7B-Instruct,nq_open,C_SE_logp,1000,0.3110,0.1371,0.4080,259,430
Qwen/Qwen2.5-7B-Instruct,nq_open,C_logp,1000,0.3110,0.4297,0.4640,268,421
Qwen/Qwen2.5-7B-Instruct,squad,C_SE_disc,1000,0.1810,0.2391,0.6175,370,449
Qwen/Qwen2.5-7B-Instruct,squad,C_SE_logp,1000,0.1810,0.2494,0.6200,358,461
Qwen/Qwen2.5-7B-Instruct,squad,C_logp,1000,0.1810,0.5959,0.5840,352,467
meta-llama/Llama-3.2-1B-Instruct,triviaqa,C_SE_disc,1000,0.4670,0.2873,0.2112,282,251
meta-llama/Llama-3.2-1B-Instruct,triviaqa,C_SE_logp,1000,0.4670,0.2600,0.2240,191,342
meta-llama/Llama-3.2-1B-Instruct,triviaqa,C_logp,1000,0.4670,0.1497,0.2200,187,346
meta-llama/Llama-3.2-1B-Instruct,nq_open,C_SE_disc,1000,0.2840,0.1924,0.5670,716,0
meta-llama/Llama-3.2-1B-Instruct,nq_open,C_SE_logp,1000,0.2840,0.1747,0.5560,313,403
meta-llama/Llama-3.2-1B-Instruct,nq_open,C_logp,1000,0.2840,0.3017,0.4680,306,410
meta-llama/Llama-3.2-1B-Instruct,squad,C_SE_disc,1000,0.1110,0.1054,0.8494,472,417
meta-llama/Llama-3.2-1B-Instruct,squad,C_SE_logp,1000,0.1110,0.1103,0.8520,441,448
meta-llama/Llama-3.2-1B-Instruct,squad,C_logp,1000,0.1110,0.3519,0.8160,428,461
meta-llama/Llama-3.2-3B-Instruct,triviaqa,C_SE_disc,1000,0.6690,0.2789,0.0794,79,252
meta-llama/Llama-3.2-3B-Instruct,triviaqa,C_SE_logp,1000,0.6690,0.2504,0.0680,78,253
meta-llama/Llama-3.2-3B-Instruct,triviaqa,C_logp,1000,0.6690,0.1126,0.0720,63,268
meta-llama/Llama-3.2-3B-Instruct,nq_open,C_SE_disc,1000,0.4170,0.2313,0.4216,278,305
meta-llama/Llama-3.2-3B-Instruct,nq_open,C_SE_logp,1000,0.4170,0.2154,0.4120,241,342
meta-llama/Llama-3.2-3B-Instruct,nq_open,C_logp,1000,0.4170,0.2307,0.3760,223,360
meta-llama/Llama-3.2-3B-Instruct,squad,C_SE_disc,1000,0.1670,0.1639,0.7826,449,384
meta-llama/Llama-3.2-3B-Instruct,squad,C_SE_logp,1000,0.1670,0.1700,0.7760,412,421
meta-llama/Llama-3.2-3B-Instruct,squad,C_logp,1000,0.1670,0.4178,0.6760,385,448
